"","scenario","true.pi","dist.of.pi","num.studies","sample.sizes","heterogeneity","bias","bias.prop","RMSE","RMSE.prop","coverage"
"48",48,0.001,"unif",30,"mix",0.5,1.31518079858383e-06,0.00131518079858383,2.94257407082487e-07,0.000294257407082487,0.96
"49",49,0.001,"beta",5,"small",0.1,-1.30458909117384e-05,-0.0130458909117384,7.14541291972486e-06,0.00714541291972486,0.942
"50",50,0.001,"beta",5,"small",0.5,-0.000195205528746626,-0.195205528746626,9.13774758746102e-06,0.00913774758746102,0.917
"51",51,0.001,"beta",5,"medium",0.1,-3.53104382680528e-05,-0.0353104382680528,1.73134670699558e-06,0.00173134670699558,0.966
"52",52,0.001,"beta",5,"medium",0.5,0.000102218101844347,0.102218101844347,1.47646254595714e-06,0.00147646254595714,0.978
"53",53,0.001,"beta",5,"large",0.1,-9.03030237477445e-06,-0.00903030237477445,3.42516176142883e-07,0.000342516176142883,0.963
"54",54,0.001,"beta",5,"large",0.5,3.05891414110705e-07,0.000305891414110704,3.50290727258234e-07,0.000350290727258234,0.967
"55",55,0.001,"beta",5,"mix",0.1,-4.3336210177563e-05,-0.043336210177563,1.26211548434977e-06,0.00126211548434977,0.963
"56",56,0.001,"beta",5,"mix",0.5,-1.70828741583398e-06,-0.00170828741583398,1.1250012663576e-06,0.0011250012663576,0.957
"57",57,0.001,"beta",15,"small",0.1,1.95404352886746e-06,0.00195404352886746,2.42045461601384e-06,0.00242045461601384,0.948
"58",58,0.001,"beta",15,"small",0.5,-3.15892370398631e-06,-0.00315892370398631,2.50357856038778e-06,0.00250357856038778,0.936
"59",59,0.001,"beta",15,"medium",0.1,4.85115526114811e-05,0.0485115526114811,4.93814800092922e-07,0.000493814800092922,0.968
"60",60,0.001,"beta",15,"medium",0.5,-2.42927214058208e-05,-0.0242927214058208,5.2293822475312e-07,0.000522938224753119,0.967
"61",61,0.001,"beta",15,"large",0.1,1.02547095182871e-05,0.0102547095182871,1.120534643296e-07,0.0001120534643296,0.958
